AK1	AK1_1
HA55	HA55_1
L2	L2_1
L7	L7_1
AA12	AA12_5
AC2	AC2_1
FG12	FG12_1
E12	E12_3
AH3	AH3_1
F7	F7_1
BB10	BB10_1
AG8	AG8_1
B7	B7_3
B7	B7_4
AA10	AA10_2
HA57	HA57_1
B4	B4_1
L12	L12_1
AJ7	AJ7_1
FI8	FI8_1
GC6	GC6_1
AM7	AM7_3
AL9	AL9_1
AJ4	AJ4_1
E9	E9_3
H9	H9_1
AD4	AD4_1
HA2	HA2_1
BJ8	BJ8_1
CI4	CI4_1
GK11	GK11_1
AN11	AN11_1
FG1	FG1_1
AC11	AC11_5
AC11	AC11_7
AJ9	AJ9_3
FH10	FH10_1
H4	H4_1
FK11	FK11_1
L5	L5_1
L1	L1_1
HA58	HA58_1
AJ1	AJ1_1
BJ9	BJ9_1
FM12	FM12_1
GNM526588001567	GNM526588001567_1
BK1	BK1_1
AJ11	AJ11_1
G7	G7_1
AO1	AO1_1
B1	B1_1
BA3	BA3_1
BG7	BG7_1
GNM526588003432	GNM526588003432_1
AC12	AC12_1
D9	D9_4
D9	D9_5
B2	B2_1
GI8	GI8_1
CE2	CE2_1
FG8	FG8_1
F6	F6_1
AP11	AP11_1
GNM000011965	GNM000011965_1
A5	A5_1
O6	O6_1
AC5	AC5_1
HA51	HA51_1
HA1	HA1_1
FO5	FO5_1
GNM3532	GNM3532_1
FI4	FI4_1
GJ9	GJ9_1
FK4	FK4_1
FI1	FI1_1
BC8	BC8_1
AL7	AL7_1
AB11	AB11_1
BJ3	BJ3_1
CE5	CE5_1
AB1	AB1_1
AD3	AD3_1
AL10	AL10_1
GNM526588001514	GNM526588001514_1
AJ12	AJ12_1
AL3	AL3_1
AF3	AF3_1
FO2	FO2_1
M7	M7_1
FH2	FH2_1
GNM526588003444	GNM526588003444_4
AK12	AK12_1
GB10	GB10_1
E4	E4_1
