	ID	cluster	start	stop	strand	family	length of spanned region	genome	contig
0	AK1_1_IS_1	IS5_447	590074	590911		IS5	837	AK1	AK1_1
3	AK1_1_IS_2	IS110_208	943052	944397	+	IS110	1345	AK1	AK1_1
6	AK1_1_IS_3	IS110_208	979679	980817	-	IS110	1138	AK1	AK1_1
9	AK1_1_IS_4	IS110_151	1746956	1748966	+	IS110	2010	AK1	AK1_1
12	AK1_1_IS_5	IS110_208	1752426	1753771	+	IS110	1345	AK1	AK1_1
15	AK1_1_IS_6	IS110_208	1839547	1840614	+	IS110	1067	AK1	AK1_1
18	AK1_1_IS_7	IS5_447	2209677	2210514	+	IS5	837	AK1	AK1_1
21	AK1_1_IS_8	IS5_447	2594495	2595332		IS5	837	AK1	AK1_1
24	AK1_1_IS_9	IS5_447	2782384	2783217		IS5	833	AK1	AK1_1
27	AK1_1_IS_10	IS3_271	3270745	3271961	+	IS3	1216	AK1	AK1_1
30	AK1_1_IS_11	IS110_208	3284075	3285420	+	IS110	1345	AK1	AK1_1
33	AK1_1_IS_12	IS5_447	3621413	3622248		IS5	835	AK1	AK1_1
36	AK1_2_IS_1	IS5_279	29385	39794	-	IS5	10409	AK1	AK1_2
39	AK1_2_IS_2	IS5_279	386869	397279	-	IS5	10410	AK1	AK1_2
0	GO10_119_IS_1	IS3_176	735	1933	-	IS3	1198	GO10	GO10_119
3	GO10_129_IS_1	IS3_176	32	1233	-	IS3	1201	GO10	GO10_129
6	GO10_2_IS_1	IS6_303	48621	49437	-	IS6	816	GO10	GO10_2
9	GO10_20_IS_1	IS3_176	3134	4334	+	IS3	1200	GO10	GO10_20
12	GO10_20_IS_2	IS21_67	17295	19760	+	IS21	2465	GO10	GO10_20
15	GO10_32_IS_1	IS5_222	292	1369	+	IS5	1077	GO10	GO10_32
18	GO10_42_IS_1	IS3_176	25726	26924	-	IS3	1198	GO10	GO10_42
21	GO10_48_IS_1	IS3_176	3794	4990	+	IS3	1196	GO10	GO10_48
24	GO10_49_IS_1	IS3_176	14872	15730	+	IS3	858	GO10	GO10_49
27	GO10_5_IS_1	IS6_303	15322	16136	+	IS6	814	GO10	GO10_5
30	GO10_5_IS_2	IS3_176	29584	30851		IS3	1267	GO10	GO10_5
33	GO10_5_IS_3	IS5_222	68622	69669		IS5	1047	GO10	GO10_5
36	GO10_5_IS_4	IS3_176	83682	84950	+	IS3	1268	GO10	GO10_5
39	GO10_5_IS_5	IS5_222	88398	89446	+	IS5	1048	GO10	GO10_5
42	GO10_7_IS_1	IS3_176	9145	10347	-	IS3	1202	GO10	GO10_7
45	GO10_79_IS_1	IS3_176	25056	26246	-	IS3	1190	GO10	GO10_79
48	GO10_8_IS_1	IS5_222	42715	43763	-	IS5	1048	GO10	GO10_8
51	GO10_83_IS_1	IS3_176	6792	7999	+	IS3	1207	GO10	GO10_83
54	GO10_89_IS_1	IS3_176	12819	14015	-	IS3	1196	GO10	GO10_89
57	GO10_91_IS_1	IS3_239|IS3||protein:plasmid:133558	179	1316	+	IS3	1137	GO10	GO10_91
0	CYM61_1_IS_1	IS5_302	163132	163966		IS5	834	CYM61	CYM61_1
3	CYM61_1_IS_2	IS256_128	258761	260057		IS256	1296	CYM61	CYM61_1
6	CYM61_1_IS_3	IS256_128	299620	300916		IS256	1296	CYM61	CYM61_1
